id,age,sex,tutorial,speed_condition,difficulty,rt,resp,correct_response,correct
1,23,1,0,0,3,0.702241000020877,a,a,1
1,23,1,0,0,3,0.711639399989508,a,l,0
1,23,1,0,0,3,0.84310080006253,l,l,1
1,23,1,0,0,3,0.851238800096326,l,l,1
1,23,1,0,0,3,0.862706699990667,l,l,1
1,23,1,0,0,3,0.845915899961255,l,a,0
1,23,1,0,0,3,1.1571428000461301,a,a,1
1,23,1,0,0,3,1.04803730000276,a,l,0
1,23,1,0,0,3,1.20753929996863,l,l,1
1,23,1,0,0,3,1.1560890000546402,l,a,0
1,23,1,0,0,3,0.74043210002128,l,l,1
1,23,1,0,0,3,1.39545429998543,a,a,1
1,23,1,0,0,2,1.7028600000776402,l,l,1
1,23,1,0,0,2,1.6387109999777698,a,a,1
1,23,1,0,0,2,1.38088069995865,a,a,1
1,23,1,0,0,2,1.54826039995532,l,a,0
1,23,1,0,0,2,1.01094369997736,a,a,1
1,23,1,0,0,2,1.45718559995294,l,l,1
1,23,1,0,0,2,1.6158860999858,a,a,1
1,23,1,0,0,2,1.4500981000019202,l,l,1
1,23,1,0,1,0,0.757306800107472,a,a,1
1,23,1,0,1,0,0.456829500035383,l,l,1
1,23,1,0,1,0,0.82622759998776,a,a,1
1,23,1,0,1,0,0.480606200057082,a,a,1
1,23,1,0,1,0,0.417076400015503,a,a,1
1,23,1,0,1,0,0.315611899946816,l,l,1
1,23,1,0,1,0,0.492856499971822,a,a,1
1,23,1,0,1,0,0.392578299972229,l,l,1
1,23,1,0,1,0,0.403148100012913,l,l,1
1,23,1,0,1,0,0.496821100008674,l,l,1
1,23,1,0,1,0,0.372007500031032,a,a,1
1,23,1,0,1,0,0.418930599931628,l,l,1
1,23,1,0,1,0,0.436345300055109,l,l,1
1,23,1,0,1,0,0.450045500067063,a,a,1
1,23,1,0,1,0,0.48572299990337303,a,a,1
1,23,1,0,1,0,0.349042800022289,l,l,1
1,23,1,0,1,1,0.427217000047676,a,a,1
1,23,1,0,1,1,0.438166499952786,l,l,1
1,23,1,0,1,1,0.512645599897951,l,l,1
1,23,1,0,1,1,0.383986599976197,a,a,1
1,23,1,0,1,1,0.439346800092608,l,a,0
1,23,1,0,1,1,0.479456599918194,l,l,1
1,23,1,0,1,1,0.396268300013617,a,a,1
1,23,1,0,1,1,0.416623099939898,l,l,1
1,23,1,0,1,2,0.540252499980852,a,a,1
1,23,1,0,1,2,0.786049699992873,a,l,0
1,23,1,0,1,2,0.444020500057377,a,l,0
1,23,1,0,1,2,0.793678399990313,a,a,1
1,23,1,0,1,2,0.497404900030233,l,a,0
1,23,1,0,1,2,0.702185299945995,l,l,1
1,23,1,0,1,2,0.5611771000549199,l,l,1
1,23,1,0,1,2,0.605327500030398,l,l,1
1,23,1,0,1,1,0.460814199992456,a,a,1
1,23,1,0,1,1,0.547455499996431,l,l,1
1,23,1,0,1,1,0.409949299995787,a,a,1
1,23,1,0,1,1,0.433235600008629,l,l,1
1,23,1,0,1,1,0.360444699996151,l,l,1
1,23,1,0,1,1,0.418577800039202,a,a,1
1,23,1,0,1,1,0.588313899934292,l,l,1
1,23,1,0,1,1,0.425392400007695,a,a,1
1,23,1,0,1,0,0.362216799985617,a,a,1
1,23,1,0,1,0,0.307237599976361,l,l,1
1,23,1,0,1,0,0.604304899927229,l,l,1
1,23,1,0,1,0,0.381790299899876,l,l,1
1,23,1,0,1,0,0.345335699967109,a,a,1
1,23,1,0,1,0,0.458057200070471,a,a,1
